id,content,source,url
ev_001,"The Earth orbits the Sun at an average distance of about 93 million miles (150 million kilometers).",Wikipedia,https://en.wikipedia.org/wiki/Earth
ev_002,"Water boils at 100 degrees Celsius (212 degrees Fahrenheit) at sea level under standard atmospheric pressure.",Chemistry Textbook,https://example.com/chemistry
ev_003,"The human body contains approximately 37.2 trillion cells, according to recent scientific estimates.",Scientific American,https://www.scientificamerican.com
ev_004,"Mount Everest is the tallest mountain on Earth, with its peak reaching 8,849 meters (29,032 feet) above sea level.",National Geographic,https://www.nationalgeographic.com
ev_005,"The speed of light in a vacuum is approximately 299,792,458 meters per second.",Physics Reference,https://example.com/physics
ev_006,"The Amazon rainforest produces approximately 20% of the world's oxygen supply.",Environmental Science,https://example.com/environment
ev_007,"DNA (deoxyribonucleic acid) contains the genetic instructions used in the development and functioning of all known living organisms.",Biology Textbook,https://example.com/biology
ev_008,"The Great Wall of China is over 13,000 miles (21,000 kilometers) long when including all of its branches.",History Channel,https://www.history.com
ev_009,"Photosynthesis is the process by which plants convert light energy into chemical energy stored in glucose.",Botany Journal,https://example.com/botany
ev_010,"The Pacific Ocean is the largest ocean on Earth, covering more than 63 million square miles.",Ocean Facts,https://example.com/oceans
ev_011,"Albert Einstein developed the theory of relativity in the early 20th century, revolutionizing physics.",Physics History,https://example.com/einstein
ev_012,"The human brain contains approximately 86 billion neurons that communicate through synapses.",Neuroscience Research,https://example.com/neuroscience
ev_013,"Gold has the chemical symbol Au, derived from the Latin word aurum.",Chemistry Reference,https://example.com/elements
ev_014,"The Mona Lisa was painted by Leonardo da Vinci in the early 16th century and is housed in the Louvre Museum.",Art History,https://example.com/art
ev_015,"Sound travels faster through water than through air, at approximately 1,480 meters per second in water.",Acoustics Journal,https://example.com/acoustics
ev_016,"The Sahara Desert is the largest hot desert in the world, covering approximately 9 million square kilometers.",Geography Atlas,https://example.com/geography
ev_017,"Honey never spoils due to its low moisture content and acidic pH, making it a natural preservative.",Food Science,https://example.com/food
ev_018,"The human heart beats approximately 100,000 times per day, pumping about 2,000 gallons of blood.",Medical Reference,https://example.com/medical
ev_019,"Shakespeare wrote 37 plays and 154 sonnets during his lifetime in the late 16th and early 17th centuries.",Literature Guide,https://example.com/literature
ev_020,"Dinosaurs went extinct approximately 65 million years ago, likely due to an asteroid impact.",Paleontology Journal,https://example.com/paleontology
ev_021,"The planet Jupiter has at least 79 known moons, with the four largest being Io, Europa, Ganymede, and Callisto.",Astronomy Database,https://example.com/astronomy
ev_022,"Penicillin was discovered by Alexander Fleming in 1928, marking the beginning of modern antibiotics.",Medical History,https://example.com/medicine
ev_023,"The Pythagorean theorem states that in a right triangle, the square of the hypotenuse equals the sum of squares of the other two sides.",Mathematics Textbook,https://example.com/math
ev_024,"Coffee is one of the most traded commodities in the world, with over 400 billion cups consumed annually.",Economic Report,https://example.com/economics
ev_025,"The first computer programmer was Ada Lovelace, who wrote the first algorithm for Charles Babbage's Analytical Engine.",Computer History,https://example.com/computing
ev_026,"Bees perform a waggle dance to communicate the location of food sources to other members of their hive.",Entomology Study,https://example.com/insects
ev_027,"The Declaration of Independence was signed on July 4, 1776, marking the birth of the United States of America.",American History,https://example.com/us-history
ev_028,"Venus is the hottest planet in our solar system, with surface temperatures reaching 900 degrees Fahrenheit.",Planetary Science,https://example.com/planets
ev_029,"The human eye can distinguish approximately 10 million different colors.",Vision Science,https://example.com/vision
ev_030,"The periodic table was first published by Dmitri Mendeleev in 1869, organizing elements by atomic weight.",Chemistry History,https://example.com/periodic-table
ev_031,"Antarctica contains approximately 90% of the world's ice and 70% of its fresh water.",Polar Research,https://example.com/antarctica
ev_032,"The speed of sound in air at sea level is approximately 343 meters per second or 767 miles per hour.",Physics Handbook,https://example.com/sound
ev_033,"Sharks have existed for over 400 million years, making them older than trees.",Marine Biology,https://example.com/sharks
ev_034,"The Eiffel Tower was completed in 1889 and stands 324 meters (1,063 feet) tall including its antenna.",Architecture Guide,https://example.com/architecture
ev_035,"Red blood cells live for approximately 120 days before being replaced by new ones.",Hematology Journal,https://example.com/blood
ev_036,"The Amazon River is the second-longest river in the world, stretching approximately 6,400 kilometers.",River Systems,https://example.com/rivers
ev_037,"Fingerprints are unique to each individual and remain unchanged throughout a person's lifetime.",Forensic Science,https://example.com/forensics
ev_038,"The Gutenberg printing press, invented around 1440, revolutionized the spread of knowledge in Europe.",Technology History,https://example.com/printing
ev_039,"Octopuses have three hearts: two pump blood to the gills, while the third pumps it to the rest of the body.",Marine Science,https://example.com/octopus
ev_040,"The longest recorded flight of a chicken is 13 seconds, covering a distance of 301.5 feet.",Animal Records,https://example.com/animals
ev_041,"Black holes have gravitational fields so strong that nothing, not even light, can escape once it crosses the event horizon.",Astrophysics,https://example.com/black-holes
ev_042,"The human skeleton is made up of 206 bones in adults, though babies are born with approximately 270.",Anatomy Reference,https://example.com/anatomy
ev_043,"The Dead Sea is the lowest point on Earth's surface, located 430 meters below sea level.",Geographic Extremes,https://example.com/dead-sea
ev_044,"Bamboo is the fastest-growing plant on Earth, with some species growing up to 91 centimeters in a single day.",Botany Facts,https://example.com/bamboo
ev_045,"The Apollo 11 mission successfully landed humans on the Moon on July 20, 1969.",Space Exploration,https://example.com/apollo
ev_046,"Antibiotics are ineffective against viral infections because they specifically target bacterial cell structures.",Pharmacology,https://example.com/antibiotics
ev_047,"The Statue of Liberty was a gift from France to the United States, dedicated on October 28, 1886.",American Landmarks,https://example.com/statue-liberty
ev_048,"Mitochondria are known as the powerhouses of the cell because they generate most of the cell's ATP energy.",Cell Biology,https://example.com/mitochondria
ev_049,"The largest living organism on Earth is a honey fungus in Oregon's Blue Mountains, covering 2,385 acres.",Mycology Report,https://example.com/fungi
ev_050,"The International Space Station orbits Earth at an average altitude of 408 kilometers and travels at 28,000 kilometers per hour.",Space Station Facts,https://example.com/iss
